time[s],Rel. Drehwinkel - drive1.phiRel [rad],Rel. Winkelgeschwindigkeit - drive1.omRel [rad/s],Rel. Winkelbeschleunigung - drive1.alpRel [rad/s²]
s,rad,rad/s,rad/s²
2.31023984963899,-0.747118246071816,-3.41361735250763,25.9559564223081
2.31036482155843,-0.747544593032362,-3.41037443748517,25.9439394588821
2.31049034171119,-0.74797242922201,-3.40711899335258,25.9298483484213
2.31059237585041,-0.748319934470414,-3.40446821033841,25.9781043650897
2.31069886544199,-0.748682327458358,-3.40169899530311,26.0346079946008
2.31080270365442,-0.749035413563541,-3.39899759521318,26.0051445270701
2.31090421386586,-0.749380312514044,-3.39635705192599,25.9958368605423
2.31100442863237,-0.749720546967687,-3.3937494571796,26.0441989815381
2.31110687012344,-0.750068071161281,-3.39108327686873,26.031444082001
2.31121014018973,-0.750418129849534,-3.38839687335835,25.9813229150967
2.31131021226881,-0.750757083419296,-3.38579423591368,26.0164316924651
2.31141375722095,-0.75110752247946,-3.38310148174595,26.0037565959074
2.3115173420326,-0.751457813839546,-3.38040926646699,26.0114682937517
2.31161786391934,-0.751797486577641,-3.37779047446644,26.0756608023027
2.3117202403877,-0.752143156258737,-3.375122072857,26.0593443786962
2.31182044135611,-0.752481215922422,-3.37251045935391,26.0585075809448
2.31192072899466,-0.752819305898981,-3.36989539670632,26.1012737945627
2.31202387187123,-0.753166747891519,-3.3672054805798,26.0681467302663
2.3121276589737,-0.753516079981515,-3.36449973994093,26.0524360529243
2.31223579525769,-0.753879752026907,-3.36168027796564,26.0983827120103
2.31233691131272,-0.754219538615668,-3.35904439895152,26.0518586738048
2.31243925355379,-0.754563174327555,-3.35637855208872,26.0203401527036
2.31254102961502,-0.754904638399635,-3.35372640979791,26.164246492806
2.31264205324121,-0.755243310751411,-3.35108803024234,26.1059447036479
2.31274347314384,-0.755583043535859,-3.34844047939857,26.0703679657011
2.31284693246473,-0.755929331090382,-3.34573775634117,26.1764331030152
2.31295090640288,-0.756277059359622,-3.34302028643087,26.1163597883558
2.31305338706381,-0.756619517139801,-3.34034357597286,26.0926981047142
2.31315571735007,-0.756961196532935,-3.33766967876955,26.1450660769016
2.31325789923538,-0.757302108067975,-3.33500019872896,26.1208196799621
2.31335867573237,-0.757638058129161,-3.33236855066768,26.1090236249006
2.31346006133841,-0.757975754004098,-3.32972197748574,26.0993415991231
2.31356448166127,-0.758323287356344,-3.3269939370445,26.1536186360175
2.31366754999398,-0.758666056166613,-3.32429820453663,26.1476790114352
2.31377022333591,-0.759007232620542,-3.32161152660571,26.1739758393459
2.31387600174324,-0.759358429700075,-3.31884278239855,26.1770000963975
2.31401353333213,-0.759814573524538,-3.31524245067329,26.1788416314479
2.31412859984621,-0.760195785896204,-3.31223024777798,26.1773979957468
2.31425645152853,-0.760618939232577,-3.30888396588436,26.1713324063696
2.31440827540128,-0.761120977053327,-3.30491190668,26.1545307507618
2.31450943517091,-0.761455115511039,-3.30226676427625,26.1510466559098
2.31461333054821,-0.761798063878338,-3.29954510758371,26.2182883230174
2.31471759831992,-0.762141957610186,-3.29681195531802,26.2224697518102
2.3148238145606,-0.762491979246239,-3.29402728309539,26.2182125577697
2.3149265249526,-0.762830152973551,-3.29133386721275,26.2247986357053
2.31507307171473,-0.763312130982997,-3.28749058505071,26.2255114543333
2.31519717974499,-0.763719832033678,-3.28423610300105,26.22173947168
2.31533680127903,-0.764178055077619,-3.28057590294812,26.2099146855856
2.31545003196075,-0.764549318639541,-3.27760896627837,26.1982701604539
2.31555387559755,-0.764889508683711,-3.27488692022524,26.2568575161128
2.31565504944249,-0.76522070724653,-3.27223128625955,26.2424982848162
2.31575695959596,-0.765554041351937,-3.26955552558302,26.2581186009086
2.31586690997695,-0.765913364393797,-3.26666761759079,26.2681714234685
2.31599201566283,-0.766321799248706,-3.26338113835628,26.2703545831789
2.31615011037652,-0.766837281248188,-3.25922809123324,26.2682935194184
2.31627969620741,-0.767259300249682,-3.25582473500179,26.261259864724
2.31643357938159,-0.767759976971075,-3.25178510819496,26.2427684441093
2.31653400759248,-0.768086387080948,-3.24914938155938,26.292618978248
2.31663752729016,-0.768422597095155,-3.24642770414343,26.301795937891
2.31674382014811,-0.768767519811557,-3.24363258749606,26.2927506417587
2.31684620876342,-0.769099491598564,-3.24093927148647,26.3080735469587
2.31694632975936,-0.769423835261854,-3.23830496149668,26.3120354842003
2.31706566893114,-0.769810063418537,-3.23516491249416,26.3117040471697
2.31722098451793,-0.770312110772367,-3.23107876312879,26.3064490593911
2.31734579168589,-0.770715110396887,-3.22779633759578,26.2949794826944
2.31744971662397,-0.771050389813586,-3.22506434794226,26.2841665951482
2.31755369374764,-0.771385555975119,-3.22233013987293,26.3390410854382
2.31765739529383,-0.771719575040214,-3.21959984564735,26.3199160788039
2.31776012548423,-0.772050185303535,-3.21689432620328,26.3372117659772
2.31786684173474,-0.772393317687209,-3.21408272045902,26.348454067226
2.31798812309794,-0.772782889713064,-3.21088695231474,26.350766601609
2.31808959377678,-0.773108496271895,-3.20821314437027,26.3502906455191
2.31820233897549,-0.773469955713273,-3.20524258425605,26.3463200097528
2.31834327047388,-0.773921390517023,-3.20153050980975,26.3336309865327
2.31844773738858,-0.774255620282064,-3.19878017624223,26.323621617139
2.31855058608266,-0.774584455080555,-3.19607197746043,26.3707748018651
2.31865814866619,-0.774928080301767,-3.19323612381495,26.3604185071166
2.31876110397005,-0.775256698339152,-3.19052082759803,26.3771043842546
2.31887811807597,-0.775629835136123,-3.18743367737338,26.3848496460563
2.31901656074718,-0.776070792028387,-3.18378064331101,26.3872098026536
2.31913380555681,-0.776443801750508,-3.18068699668688,26.3855553282868
2.31926570596765,-0.776863041956145,-3.17720731815814,26.3773968079278
2.31941226197969,-0.777328320501702,-3.17334270041218,26.3657046971403
2.31951459486075,-0.777652888471711,-3.17064560441686,26.3616580747159
2.31962113283847,-0.777990531014949,-3.16783368082417,26.4083821190496
2.31972693243297,-0.778325534553603,-3.16503992755324,26.4104590377431
2.31982852323365,-0.778646918981116,-3.16235658623193,26.4162549132348
2.31996698164425,-0.779084453437823,-3.15869861476076,26.420579182412
2.3200842397833,-0.779454564107506,-3.15560056107958,26.4205725690706
2.32021615518973,-0.779870542256573,-3.15211568309653,26.414760781185
2.32036272786354,-0.780332264200579,-3.14824496479074,26.4017861103075
2.32049023500414,-0.780733472198996,-3.14487960358113,26.3851191053543
2.32059339781053,-0.781057763213606,-3.14215460131565,26.4211394467948
2.32069418961159,-0.781374331722632,-3.13949041415647,26.4366476548015
2.32079816109904,-0.781700587384694,-3.13674115302551,26.4451386185901
2.32094661287634,-0.7821658734365,-3.13281471991035,26.4509505731226
2.32107233423246,-0.782559421587612,-3.12948917811546,26.4515950464895
2.32121377075809,-0.783001707085804,-3.1257483769625,26.4458040260621
2.32137092245324,-0.783492587589134,-3.12159349147926,26.4317440891498
2.32150492178839,-0.783910640491871,-3.1180527713829,26.417304832755
2.32160609762607,-0.784225975213783,-3.11537694195402,26.4530445096097
2.32170714809219,-0.784540650391616,-3.11270284107886,26.4726919464633
2.32181166088098,-0.784865815788129,-3.10993617601319,26.4756504201751
2.32191896744972,-0.785199346486705,-3.10709497630459,26.4789398451695
2.32207109229105,-0.785671600939093,-3.10306670606708,26.4800225843298
2.32219578478395,-0.786058221304789,-3.09976516884398,26.4761766342887
2.32235165040007,-0.78654101800094,-3.09563960136188,26.4621327772082
2.32247519008099,-0.786923248165861,-3.09237144748222,26.4464463409084
2.32257730926922,-0.787238898433942,-3.08966887787117,26.4769101593605
2.32267874407496,-0.787552162157247,-3.08698240617065,26.487315563221
2.32279228133937,-0.787902478930028,-3.08397417961005,26.5005655882946
2.32289353712975,-0.788214592610548,-3.08129061601658,26.5043010906984
2.32299457296015,-0.788525731507203,-3.07861258351709,26.5062221224455
2.32311103331794,-0.788883997097698,-3.07552571556815,26.5053385234855
2.32324043371548,-0.789281638526288,-3.07209641708043,26.4997292142823
2.32339409668756,-0.789753363949309,-3.06802575217521,26.4831940756808
2.32349619947845,-0.790066422095812,-3.06532245342812,26.4717550577781
2.32360442341744,-0.790398006040247,-3.06245506081833,26.5032611772244
2.32371011002407,-0.790721518464009,-3.05965307170073,26.5221972431166
2.32382663924317,-0.791077863730664,-3.0565625220553,26.5248969983208
2.32394744380853,-0.791446865525606,-3.05335787419798,26.528848849816
2.32406253962157,-0.791798029573669,-3.05030444109218,26.5294620560161
2.32419042385828,-0.792187790054326,-3.04691205186608,26.5258064596992
2.32435027915416,-0.792674486127365,-3.04267295915177,26.511598751105
2.32447429692448,-0.793051625450915,-3.03938603189278,26.4957817914864
2.32457588342559,-0.793360247264027,-3.03669299861103,26.5233497934405
2.32468386297516,-0.793687977912868,-3.03382841952928,26.5342687211124
2.32480622403854,-0.794058949008332,-3.03058092506936,26.543296215697
2.32492280279557,-0.794411978661762,-3.02748607079305,26.5484049915327
2.32505233474782,-0.794803800740469,-3.02404699122933,26.5501795300011
2.32523448905568,-0.795354167952397,-3.01921137887905,26.5430154472698
2.3253609851028,-0.795735867865633,-3.01585460223389,26.5321210186027
2.32548748114993,-0.796117147363409,-3.01249958152697,26.5157909203995
